                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1687,                 3.5846,                 2.0749,                0.04338,                0.24293,                0.03914,                0.01669,                 1.6848,                 3.3286,                 1.5863,               0.099069,               6.86e-05,               6.86e-05
                      2,                 1.5866,                 3.2012,                 1.6601,                0.02569,                0.32628,                0.06752,                 0.0317,                  1.473,                 3.0492,                 1.4193,               0.097204,             0.00020377,             0.00020377
                      3,                  1.395,                  2.581,                 1.4674,                0.02528,                0.32099,                0.07457,                0.03478,                 1.3439,                 2.7281,                 1.3662,               0.095336,             0.00033624,             0.00033624
                      4,                 1.4747,                 2.2106,                 1.4611,                0.02528,                0.32099,                0.17486,                0.09083,                 1.4617,                 2.4057,                 1.4666,               0.093466,               0.000466,               0.000466
                      5,                 1.4944,                 1.6644,                 1.4117,                0.21346,                0.24691,                0.23435,                0.10209,                 1.7881,                  2.152,                 1.6681,               0.091593,             0.00059305,             0.00059305
                      6,                 1.3604,                 1.4664,                 1.4327,                0.24122,                0.13857,                0.19098,                  0.094,                 1.8268,                 2.0692,                 1.7942,               0.089717,              0.0007174,              0.0007174
                      7,                 1.4428,                 1.3285,                 1.4614,                0.60866,                0.18166,                0.35862,                0.14842,                 1.9178,                 1.9789,                 1.7903,               0.087839,             0.00083904,             0.00083904
                      8,                  1.145,                 1.3132,                 1.3784,                0.59317,                0.18414,                0.28264,                0.14814,                 1.7122,                 2.0332,                 1.7308,               0.085958,             0.00095798,             0.00095798
                      9,                 1.2906,                 1.1773,                 1.3684,                0.58042,                0.21041,                0.29445,                0.16135,                  1.743,                 2.0722,                  1.725,               0.084074,              0.0010742,              0.0010742
                     10,                   1.32,                 1.1923,                 1.4198,                0.39716,                0.27607,                0.33799,                0.17614,                 1.6891,                  2.038,                 1.6896,               0.082188,              0.0011877,              0.0011877
                     11,                 1.3246,                 1.1935,                 1.4181,                0.19903,                0.44675,                0.38654,                0.20732,                 1.5818,                 2.0504,                 1.6363,               0.080299,              0.0012986,              0.0012986
                     12,                 1.2069,                 1.0915,                  1.404,                 0.4691,                0.32736,                0.41713,                0.21488,                 1.6109,                 2.0513,                 1.6353,               0.078407,              0.0014067,              0.0014067
                     13,                 1.2513,                 1.0414,                 1.4101,                0.60531,                0.23608,                0.42469,                0.27239,                 1.2754,                 2.0182,                 1.4373,               0.076512,              0.0015121,              0.0015121
                     14,                 1.2849,                 1.0268,                 1.3945,                0.63378,                0.21138,                0.38441,                0.24307,                 1.3717,                 2.0281,                 1.4571,               0.074615,              0.0016148,              0.0016148
                     15,                  1.232,                0.98766,                 1.3976,                0.62414,                0.23406,                0.39577,                0.23376,                 1.4443,                  2.022,                 1.4991,               0.072715,              0.0017148,              0.0017148
                     16,                  1.184,                0.98337,                 1.3741,                0.63102,                0.24033,                0.37755,                0.24961,                 1.2536,                 2.0127,                 1.4377,               0.070812,              0.0018121,              0.0018121
                     17,                 1.2177,                0.96685,                 1.3198,                 0.6003,                0.30174,                0.36121,                0.22302,                 1.3552,                 1.9684,                 1.4696,               0.068907,              0.0019066,              0.0019066
                     18,                 1.2134,                0.96151,                 1.3423,                0.55736,                0.33348,                0.39353,                 0.2614,                 1.2605,                 1.8084,                  1.419,               0.066999,              0.0019985,              0.0019985
                     19,                 1.0551,                 0.8777,                 1.2526,                0.56086,                0.36032,                0.45988,                0.33294,                 1.1395,                 1.5555,                  1.338,               0.065088,              0.0020877,              0.0020877
                     20,                 1.2141,                0.91886,                  1.309,                0.50083,                0.37821,                0.51312,                0.34174,                 1.2608,                  1.515,                 1.4047,               0.063174,              0.0021742,              0.0021742
                     21,                 1.2163,                 0.9434,                 1.3335,                0.51002,                0.33511,                 0.4784,                0.33048,                 1.2276,                 1.6717,                 1.4074,               0.061258,              0.0022579,              0.0022579
                     22,                 1.1424,                0.94515,                 1.3022,                0.56033,                0.32805,                0.50892,                0.33951,                 1.2343,                 1.7582,                 1.3758,               0.059339,               0.002339,               0.002339
                     23,                 1.1675,                0.95964,                 1.3839,                0.58002,                0.27176,                0.49482,                0.33381,                 1.1872,                 1.8845,                 1.3794,               0.057417,              0.0024173,              0.0024173
                     24,                    1.2,                0.91165,                 1.3599,                0.61441,                0.27525,                0.50932,                0.33257,                 1.2094,                 1.9404,                 1.3996,               0.055493,               0.002493,               0.002493
                     25,                   1.19,                0.97114,                 1.3774,                0.64201,                0.25848,                 0.5022,                0.30825,                  1.309,                 1.9616,                 1.4549,               0.053566,              0.0025659,              0.0025659
                     26,                  1.074,                 0.9653,                 1.3232,                0.60455,                0.22106,                0.45273,                 0.2826,                 1.3147,                 1.9631,                 1.4715,               0.051636,              0.0026362,              0.0026362
                     27,                 1.0502,                 0.8726,                 1.2939,                0.53152,                0.24483,                0.38427,                0.24179,                 1.3619,                 1.9849,                 1.5279,               0.049704,              0.0027037,              0.0027037
                     28,                 1.1628,                0.88267,                 1.3091,                0.53152,                0.24483,                0.38427,                0.24179,                 1.3619,                 1.9849,                 1.5279,               0.047769,              0.0027685,              0.0027685
                     29,                 1.0416,                0.93478,                 1.3091,                0.48316,                0.28353,                0.41871,                 0.2871,                 1.2307,                 1.8584,                 1.4123,               0.045831,              0.0028306,              0.0028306
                     30,                0.96848,                0.87048,                 1.2543,                0.56667,                 0.4629,                0.54791,                0.36968,                 1.1804,                 1.3619,                 1.3403,                0.04389,                0.00289,                0.00289
                     31,                 1.1901,                0.90743,                 1.3322,                0.56667,                 0.4629,                0.54791,                0.36968,                 1.1804,                 1.3619,                 1.3403,               0.041947,              0.0029467,              0.0029467
                     32,                 1.1929,                0.85335,                 1.2764,                0.88871,                0.49004,                0.55418,                 0.3735,                 1.1854,                 1.1862,                  1.357,               0.040001,              0.0030007,              0.0030007
                     33,                 1.1694,                0.83603,                 1.3017,                0.87393,                0.49908,                0.54208,                0.37876,                 1.0605,                 1.1125,                 1.3203,               0.038052,               0.003052,               0.003052
                     34,                 1.0881,                0.86262,                 1.3487,                0.87393,                0.49908,                0.54208,                0.37876,                 1.0605,                 1.1125,                 1.3203,               0.036101,              0.0031006,              0.0031006
                     35,                  1.174,                0.90798,                 1.3461,                0.86666,                0.44579,                0.50372,                0.30002,                  1.374,                 1.2592,                 1.4279,               0.034147,              0.0031465,              0.0031465
                     36,                 1.2559,                0.88779,                 1.3721,                 0.8335,                 0.4514,                0.51446,                 0.3485,                 1.1681,                 1.2595,                 1.3429,                0.03219,              0.0031897,              0.0031897
