                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1194,                 3.5302,                 1.9543,                0.03842,                0.30274,                0.06171,                0.02634,                 1.7616,                  3.179,                 1.7094,               0.099069,               6.86e-05,               6.86e-05
                      2,                 1.6142,                 3.1775,                  1.663,                0.02089,                0.33333,                0.05798,                0.02835,                 1.3796,                 2.9236,                 1.4516,               0.097204,             0.00020377,             0.00020377
                      3,                 1.5565,                 2.7203,                 1.5297,                0.09891,                0.37376,                0.25931,                0.15073,                 1.3902,                 2.5907,                 1.5274,               0.095336,             0.00033624,             0.00033624
                      4,                 1.6937,                 2.3309,                 1.5179,                   0.02,                0.32558,                0.20763,                0.08796,                 1.5687,                 2.3158,                 1.6475,               0.093466,               0.000466,               0.000466
                      5,                 1.4105,                 1.7628,                 1.4604,                0.03457,                0.31266,                0.06596,                0.02627,                 1.5664,                 2.1117,                 1.6788,               0.091593,             0.00059305,             0.00059305
                      6,                 1.3677,                 1.5541,                 1.4542,                0.51007,                0.22997,                 0.2068,                0.09951,                 1.3661,                 2.0522,                 1.5009,               0.089717,              0.0007174,              0.0007174
                      7,                 1.5597,                 1.4182,                 1.5221,                 0.2689,                0.46727,                0.43135,                0.25838,                 1.5569,                 2.0095,                 1.5803,               0.087839,             0.00083904,             0.00083904
                      8,                 1.2604,                 1.2061,                 1.3634,                  0.049,                0.61332,                0.37458,                0.19632,                 1.4654,                 2.0766,                 1.5365,               0.085958,             0.00095798,             0.00095798
                      9,                 1.2752,                 1.1874,                 1.4329,                0.04375,                0.62407,                 0.4093,                0.23417,                 1.3576,                 2.0587,                 1.4802,               0.084074,              0.0010742,              0.0010742
                     10,                 1.3339,                 1.1291,                 1.3688,                0.04691,                0.62924,                0.40244,                0.26683,                 1.2017,                 1.9766,                 1.3936,               0.082188,              0.0011877,              0.0011877
                     11,                  1.252,                 1.0887,                 1.3623,                0.29806,                0.33458,                0.41862,                0.28649,                 1.0799,                 1.9021,                 1.3346,               0.080299,              0.0012986,              0.0012986
                     12,                 1.3391,                 1.0226,                 1.3321,                0.61384,                0.20582,                0.37263,                0.25021,                 1.1029,                 1.8671,                 1.3497,               0.078407,              0.0014067,              0.0014067
                     13,                 1.3665,                 1.1083,                 1.3657,                 0.5162,                0.23557,                0.42158,                0.26651,                 1.2228,                 1.8288,                 1.4425,               0.076512,              0.0015121,              0.0015121
                     14,                 1.2212,                 0.9632,                 1.3182,                0.60422,                0.31009,                0.51561,                0.34111,                 1.2271,                 1.7269,                 1.3933,               0.074615,              0.0016148,              0.0016148
                     15,                  1.219,                0.94835,                 1.3013,                0.59428,                0.33143,                0.56241,                0.40707,                 1.0708,                 1.6202,                 1.3364,               0.072715,              0.0017148,              0.0017148
                     16,                 1.2737,                 1.0059,                 1.4179,                0.57176,                0.38719,                0.58556,                 0.3836,                 1.2424,                 1.5428,                 1.4254,               0.070812,              0.0018121,              0.0018121
                     17,                  1.144,                0.90926,                  1.322,                 0.5771,                0.43719,                0.58375,                0.35816,                 1.3576,                  1.449,                 1.4409,               0.068907,              0.0019066,              0.0019066
                     18,                 1.1729,                0.94782,                 1.3385,                0.56638,                0.47015,                0.57424,                0.42976,                 1.0248,                 1.4058,                 1.2756,               0.066999,              0.0019985,              0.0019985
                     19,                 1.2613,                 0.9806,                 1.3921,                 0.5477,                0.43994,                0.53487,                0.36265,                 1.1853,                 1.4724,                 1.4381,               0.065088,              0.0020877,              0.0020877
                     20,                 1.1003,                0.89998,                 1.3498,                0.58845,                0.45274,                0.52645,                0.30483,                 1.3208,                 1.5102,                 1.4581,               0.063174,              0.0021742,              0.0021742
                     21,                 1.0963,                0.93973,                 1.2958,                 0.5842,                0.43766,                0.57041,                0.39649,                  1.123,                  1.399,                 1.2958,               0.061258,              0.0022579,              0.0022579
                     22,                  1.118,                 0.8718,                 1.3169,                 0.5899,                0.37943,                0.57299,                 0.4287,                0.96677,                 1.5108,                 1.2617,               0.059339,               0.002339,               0.002339
                     23,                 1.1744,                0.91304,                 1.3091,                0.41375,                0.33361,                0.52459,                0.38714,                0.98588,                 1.5005,                 1.2754,               0.057417,              0.0024173,              0.0024173
                     24,                 1.2558,                0.92954,                 1.3523,                0.50595,                0.39799,                0.56454,                0.39082,                 1.1533,                 1.4572,                 1.3408,               0.055493,               0.002493,               0.002493
                     25,                 1.2414,                 0.8945,                 1.3588,                  0.536,                0.36421,                0.51565,                0.32485,                 1.3852,                 1.5468,                 1.4553,               0.053566,              0.0025659,              0.0025659
                     26,                  1.035,                0.82875,                 1.2878,                0.57026,                0.34045,                0.50017,                0.30623,                 1.3714,                  1.532,                  1.424,               0.051636,              0.0026362,              0.0026362
                     27,                 1.2422,                0.97017,                 1.3622,                0.56872,                0.30023,                 0.5373,                0.38197,                 1.1578,                 1.4563,                 1.3342,               0.049704,              0.0027037,              0.0027037
                     28,                 1.1505,                0.84824,                 1.2742,                0.56872,                0.30023,                 0.5373,                0.38197,                 1.1578,                 1.4563,                 1.3342,               0.047769,              0.0027685,              0.0027685
                     29,                 1.1274,                0.85976,                 1.3087,                0.63474,                0.29199,                0.53281,                0.35558,                 1.2229,                 1.3167,                  1.459,               0.045831,              0.0028306,              0.0028306
                     30,                 1.2853,                0.86975,                 1.3311,                0.57639,                0.46436,                0.53947,                0.32247,                 1.3769,                 1.3034,                 1.6755,                0.04389,                0.00289,                0.00289
                     31,                  1.058,                0.86435,                 1.2854,                0.57639,                0.46436,                0.53947,                0.32247,                 1.3769,                 1.3034,                 1.6755,               0.041947,              0.0029467,              0.0029467
                     32,                 1.2102,                0.87053,                 1.3216,                0.55305,                 0.4598,                 0.5249,                0.28954,                 1.4365,                 1.3632,                 1.6423,               0.040001,              0.0030007,              0.0030007
                     33,                 1.2025,                0.95879,                 1.4305,                0.87926,                 0.5375,                0.58661,                0.37459,                 1.2937,                 1.2556,                 1.4943,               0.038052,               0.003052,               0.003052
                     34,                 1.1182,                0.83066,                 1.2898,                0.87926,                 0.5375,                0.58661,                0.37459,                 1.2937,                 1.2556,                 1.4943,               0.036101,              0.0031006,              0.0031006
                     35,                 1.1565,                0.85642,                 1.2732,                0.83366,                0.53035,                0.55683,                0.40798,                 1.0851,                 1.2935,                 1.3926,               0.034147,              0.0031465,              0.0031465
                     36,                 1.1706,                0.89649,                 1.2935,                0.75962,                0.54139,                0.45167,                0.34207,                0.93779,                 1.3196,                 1.3065,                0.03219,              0.0031897,              0.0031897
                     37,                  1.067,                0.89795,                 1.3025,                0.75962,                0.54139,                0.45167,                0.34207,                0.93779,                 1.3196,                 1.3065,                0.03023,              0.0032302,              0.0032302
                     38,                0.95495,                0.84552,                 1.2669,                0.85959,                0.55253,                0.60956,                0.41365,                 1.1967,                 1.2021,                  1.451,               0.028268,              0.0032679,              0.0032679
                     39,                 1.1647,                0.85624,                 1.2856,                0.82045,                0.55934,                0.55016,                0.40305,                0.96388,                 1.1705,                 1.2795,               0.026303,               0.003303,               0.003303
                     40,                 1.0451,                0.80378,                 1.2571,                0.82045,                0.55934,                0.55016,                0.40305,                0.96388,                 1.1705,                 1.2795,               0.024335,              0.0033353,              0.0033353
                     41,                 1.1017,                0.82622,                 1.2434,                 0.8782,                0.56876,                 0.5691,                 0.4127,                 1.0621,                 1.0776,                 1.3697,               0.022365,               0.003365,               0.003365
                     42,                 1.0959,                0.85427,                 1.2769,                0.52515,                0.57149,                0.56702,                 0.4107,                 1.0413,                 1.0693,                 1.3198,               0.020392,              0.0033919,              0.0033919
                     43,                 0.9573,                0.78201,                 1.2404,                0.52515,                0.57149,                0.56702,                 0.4107,                 1.0413,                 1.0693,                 1.3198,               0.018416,              0.0034162,              0.0034162
                     44,                 1.0238,                0.77023,                 1.2377,                0.88243,                0.56681,                0.61865,                0.45878,                 1.0374,                 1.0744,                  1.303,               0.016438,              0.0034377,              0.0034377
                     45,                 1.0257,                0.75995,                 1.2622,                0.88243,                0.56681,                0.61865,                0.45878,                 1.0374,                 1.0744,                  1.303,               0.014457,              0.0034565,              0.0034565
