                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0012,                0.71783,                 1.2241,                0.90746,                0.40084,                0.52164,                0.37986,                 1.0739,                 1.2492,                 1.3003,              0.0084968,              0.0034968,              0.0034968
                     49,                0.95756,                0.75714,                 1.2527,                0.90746,                0.40084,                0.52164,                0.37986,                 1.0739,                 1.2492,                 1.3003,              0.0065048,              0.0035048,              0.0035048
                     50,                  1.117,                0.77928,                 1.2229,                0.87714,                0.46323,                0.54144,                0.38305,                 1.1495,                 1.2823,                 1.2833,              0.0045101,              0.0035101,              0.0035101
                     51,                 1.0169,                0.70564,                 1.2248,                0.87714,                0.46323,                0.54144,                0.38305,                 1.1495,                 1.2823,                 1.2833,              0.0034779,              0.0034779,              0.0034779
                     52,                0.80772,                0.72701,                 1.2047,                0.89448,                0.53499,                0.59215,                0.40805,                 1.1086,                  1.027,                 1.2808,              0.0034102,              0.0034102,              0.0034102
                     53,                 1.0262,                0.73178,                 1.2438,                0.89448,                0.53499,                0.59215,                0.40805,                 1.1086,                  1.027,                 1.2808,              0.0033426,              0.0033426,              0.0033426
                     54,                0.96517,                 0.7192,                 1.2195,                0.90878,                0.56629,                 0.6034,                0.43605,                 1.0517,                0.99917,                 1.2955,               0.003275,               0.003275,               0.003275
                     55,                0.89824,                0.69161,                 1.2208,                0.90878,                0.56629,                 0.6034,                0.43605,                 1.0517,                0.99917,                 1.2955,              0.0032073,              0.0032073,              0.0032073
                     56,                 1.0197,                0.72804,                 1.1977,                 0.9002,                0.54961,                0.58639,                0.41465,                 1.1268,                0.98482,                 1.3526,              0.0031397,              0.0031397,              0.0031397
                     57,                0.96782,                 0.7497,                 1.2764,                 0.9002,                0.54961,                0.58639,                0.41465,                 1.1268,                0.98482,                 1.3526,               0.003072,               0.003072,               0.003072
                     58,                0.96232,                0.69115,                 1.2115,                0.89438,                0.54367,                0.60141,                0.44447,                 1.0005,                0.92778,                 1.2679,              0.0030044,              0.0030044,              0.0030044
                     59,                0.98438,                0.76315,                 1.2241,                0.89438,                0.54367,                0.60141,                0.44447,                 1.0005,                0.92778,                 1.2679,              0.0029367,              0.0029367,              0.0029367
                     60,                0.89794,                0.70698,                 1.2291,                0.89369,                0.56418,                0.61104,                0.47126,                0.91539,                0.87075,                 1.2286,              0.0028691,              0.0028691,              0.0028691
                     61,                0.89813,                 0.7429,                 1.2315,                0.89369,                0.56418,                0.61104,                0.47126,                0.91539,                0.87075,                 1.2286,              0.0028015,              0.0028015,              0.0028015
                     62,                0.93369,                0.69656,                 1.1849,                0.89977,                0.53391,                0.59516,                0.45652,                 0.9297,                0.88769,                 1.2317,              0.0027338,              0.0027338,              0.0027338
                     63,                0.82786,                0.68195,                 1.2053,                0.89977,                0.53391,                0.59516,                0.45652,                 0.9297,                0.88769,                 1.2317,              0.0026662,              0.0026662,              0.0026662
                     64,                0.87928,                0.63543,                 1.1923,                0.90209,                0.55283,                0.58806,                 0.4559,                0.92684,                0.88458,                 1.2245,              0.0025985,              0.0025985,              0.0025985
                     65,                 1.0157,                0.73181,                 1.1831,                0.90209,                0.55283,                0.58806,                 0.4559,                0.92684,                0.88458,                 1.2245,              0.0025309,              0.0025309,              0.0025309
                     66,                0.90573,                0.71217,                 1.2308,                0.88716,                 0.5867,                0.59868,                 0.4679,                0.85227,                0.83704,                  1.205,              0.0024632,              0.0024632,              0.0024632
                     67,                0.86568,                0.64828,                 1.1754,                0.88716,                 0.5867,                0.59868,                 0.4679,                0.85227,                0.83704,                  1.205,              0.0023956,              0.0023956,              0.0023956
                     68,                0.87171,                 0.6734,                 1.2235,                0.89656,                0.60438,                0.61132,                0.47213,                0.88078,                0.80742,                 1.2043,               0.002328,               0.002328,               0.002328
                     69,                0.85496,                0.64054,                 1.2008,                0.89656,                0.60438,                0.61132,                0.47213,                0.88078,                0.80742,                 1.2043,              0.0022603,              0.0022603,              0.0022603
                     70,                0.95976,                0.64653,                 1.1908,                0.90765,                 0.5564,                0.59937,                0.46896,                0.85508,                0.84903,                 1.2015,              0.0021927,              0.0021927,              0.0021927
                     71,                0.89312,                 0.6496,                 1.1988,                0.90765,                 0.5564,                0.59937,                0.46896,                0.85508,                0.84903,                 1.2015,               0.002125,               0.002125,               0.002125
                     72,                0.91618,                0.65683,                 1.1928,                0.88418,                0.53767,                0.57283,                0.45517,                0.85403,                0.88591,                  1.197,              0.0020574,              0.0020574,              0.0020574
                     73,                0.93478,                0.67552,                 1.1827,                0.88418,                0.53767,                0.57283,                0.45517,                0.85403,                0.88591,                  1.197,              0.0019898,              0.0019898,              0.0019898
                     74,                0.74602,                0.64082,                 1.1715,                0.91847,                0.48422,                0.55547,                0.44566,                0.84212,                0.89675,                 1.1856,              0.0019221,              0.0019221,              0.0019221
                     75,                0.84437,                0.63386,                  1.171,                0.91847,                0.48422,                0.55547,                0.44566,                0.84212,                0.89675,                 1.1856,              0.0018545,              0.0018545,              0.0018545
                     76,                0.87765,                0.62441,                 1.1592,                0.87959,                0.48619,                0.55456,                0.44502,                0.82535,                0.89936,                 1.1873,              0.0017868,              0.0017868,              0.0017868
                     77,                  0.798,                0.59903,                 1.1534,                0.87959,                0.48619,                0.55456,                0.44502,                0.82535,                0.89936,                 1.1873,              0.0017192,              0.0017192,              0.0017192
                     78,                0.79517,                0.59884,                 1.1792,                0.85452,                0.50884,                0.56297,                0.44195,                0.85832,                0.89198,                 1.2066,              0.0016515,              0.0016515,              0.0016515
                     79,                0.90464,                0.61073,                 1.1595,                0.85452,                0.50884,                0.56297,                0.44195,                0.85832,                0.89198,                 1.2066,              0.0015839,              0.0015839,              0.0015839
                     80,                0.77254,                0.63143,                 1.1889,                0.87424,                0.53409,                0.58001,                 0.4538,                 0.8591,                0.84185,                 1.1945,              0.0015163,              0.0015163,              0.0015163
                     81,                0.83139,                0.61973,                 1.1764,                0.87424,                0.53409,                0.58001,                 0.4538,                 0.8591,                0.84185,                 1.1945,              0.0014486,              0.0014486,              0.0014486
                     82,                  0.898,                0.65662,                  1.159,                0.87503,                0.56014,                0.59792,                  0.473,                0.84626,                0.79622,                 1.1818,               0.001381,               0.001381,               0.001381
                     83,                0.75686,                0.57214,                  1.146,                0.87503,                0.56014,                0.59792,                  0.473,                0.84626,                0.79622,                 1.1818,              0.0013133,              0.0013133,              0.0013133
                     84,                0.75059,                0.57762,                 1.1485,                0.89586,                0.59862,                0.61367,                0.48262,                0.82432,                0.74061,                 1.1746,              0.0012457,              0.0012457,              0.0012457
                     85,                0.84602,                0.59672,                 1.1443,                0.89586,                0.59862,                0.61367,                0.48262,                0.82432,                0.74061,                 1.1746,               0.001178,               0.001178,               0.001178
                     86,                0.80672,                0.61344,                  1.169,                0.90543,                0.59857,                0.62332,                0.49082,                0.81401,                0.71052,                 1.1796,              0.0011104,              0.0011104,              0.0011104
                     87,                0.78251,                0.59206,                   1.14,                0.90543,                0.59857,                0.62332,                0.49082,                0.81401,                0.71052,                 1.1796,              0.0010428,              0.0010428,              0.0010428
                     88,                0.68073,                0.55267,                 1.1233,                 0.9121,                0.59407,                0.62704,                0.49342,                0.81527,                0.69873,                 1.1731,             0.00097512,             0.00097512,             0.00097512
                     89,                0.70744,                0.52903,                 1.1205,                 0.9121,                0.59407,                0.62704,                0.49342,                0.81527,                0.69873,                 1.1731,             0.00090747,             0.00090747,             0.00090747
                     90,                0.73708,                0.54849,                 1.1266,                0.92312,                0.58585,                0.62795,                0.49834,                 0.8168,                0.69639,                 1.1715,             0.00083983,             0.00083983,             0.00083983
                     91,                0.63654,                0.72495,                 1.1287,                0.92312,                0.58585,                0.62795,                0.49834,                 0.8168,                0.69639,                 1.1715,             0.00077219,             0.00077219,             0.00077219
                     92,                0.73025,                0.74994,                 1.1542,                 0.9288,                0.58704,                0.63128,                0.50327,                0.80025,                0.69952,                 1.1688,             0.00070455,             0.00070455,             0.00070455
                     93,                0.64406,                0.62033,                 1.1244,                 0.9288,                0.58704,                0.63128,                0.50327,                0.80025,                0.69952,                 1.1688,              0.0006369,              0.0006369,              0.0006369
                     94,                 0.6525,                 0.6346,                 1.1486,                0.91392,                0.58925,                0.62679,                0.49863,                0.79605,                0.72071,                 1.1683,             0.00056926,             0.00056926,             0.00056926
                     95,                0.65379,                0.54424,                  1.137,                0.91392,                0.58925,                0.62679,                0.49863,                0.79605,                0.72071,                 1.1683,             0.00050162,             0.00050162,             0.00050162
                     96,                0.68212,                0.62908,                  1.131,                0.90042,                0.59485,                0.63063,                0.50159,                0.78923,                0.74874,                 1.1669,             0.00043398,             0.00043398,             0.00043398
                     97,                0.76315,                0.63516,                 1.1163,                0.90042,                0.59485,                0.63063,                0.50159,                0.78923,                0.74874,                 1.1669,             0.00036633,             0.00036633,             0.00036633
                     98,                0.59739,                0.56616,                 1.1233,                0.88784,                0.60389,                0.63165,                0.50419,                0.77513,                0.75168,                  1.164,             0.00029869,             0.00029869,             0.00029869
                     99,                0.66799,                0.58019,                 1.1225,                0.88784,                0.60389,                0.63165,                0.50419,                0.77513,                0.75168,                  1.164,             0.00023105,             0.00023105,             0.00023105
                    100,                0.62582,                0.58172,                  1.108,                0.91536,                0.57702,                0.62801,                0.50323,                0.76415,                0.73491,                 1.1611,             0.00016341,             0.00016341,             0.00016341
