                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1656,                 3.4764,                 2.0118,                0.01601,                0.11174,                0.01319,                 0.0046,                 1.6189,                 3.2247,                 1.5725,               0.099069,               6.86e-05,               6.86e-05
                      2,                  1.651,                 3.1911,                 1.6449,                0.02762,                0.32955,                0.04779,                 0.0227,                 1.5148,                 2.9925,                 1.5385,               0.097204,             0.00020377,             0.00020377
                      3,                 1.4997,                  2.583,                 1.4621,                0.02651,                0.31629,                0.04045,                0.01923,                 1.4096,                  2.685,                 1.4765,               0.095336,             0.00033624,             0.00033624
                      4,                  1.796,                  2.209,                 1.5851,                0.02667,                0.31818,                0.18162,                0.08881,                 1.6044,                  2.381,                 1.6254,               0.093466,               0.000466,               0.000466
                      5,                 1.4649,                 1.8702,                 1.4714,                0.15831,                0.18182,                0.16164,                0.08767,                 1.6083,                 2.1782,                 1.6746,               0.091593,             0.00059305,             0.00059305
                      6,                 1.2626,                 1.4969,                 1.3971,                0.23343,                0.17259,                0.23462,                0.13079,                 1.5321,                 2.0219,                 1.5515,               0.089717,              0.0007174,              0.0007174
                      7,                 1.5064,                 1.4796,                 1.5384,                0.16064,                0.41455,                0.33902,                0.19286,                 1.4318,                 2.0072,                 1.5385,               0.087839,             0.00083904,             0.00083904
                      8,                 1.3731,                 1.3435,                 1.4936,                 0.0902,                0.60269,                0.35569,                0.21105,                 1.3335,                 2.0246,                 1.4731,               0.085958,             0.00095798,             0.00095798
                      9,                 1.2629,                 1.1867,                 1.4527,                0.08049,                0.62121,                0.37351,                0.22287,                 1.2583,                 2.0894,                 1.4292,               0.084074,              0.0010742,              0.0010742
                     10,                 1.3322,                 1.1276,                 1.4048,                0.07866,                0.65362,                0.46691,                0.27498,                 1.2659,                 2.1156,                 1.4634,               0.082188,              0.0011877,              0.0011877
                     11,                 1.1949,                 1.0492,                 1.3761,                 0.0735,                0.65257,                0.51163,                0.31745,                 1.2431,                 2.0953,                  1.484,               0.080299,              0.0012986,              0.0012986
                     12,                 1.3509,                 1.0421,                 1.3461,                0.07745,                 0.6412,                0.48951,                0.31779,                 1.2408,                 2.0684,                 1.5135,               0.078407,              0.0014067,              0.0014067
                     13,                 1.3399,                 1.0415,                 1.3685,                0.07018,                0.60017,                0.38952,                0.23538,                 1.5188,                 2.1715,                 1.7334,               0.076512,              0.0015121,              0.0015121
                     14,                 1.2975,                0.95938,                  1.342,                0.06352,                0.56987,                0.33715,                0.19428,                 1.6038,                 2.2165,                 1.9379,               0.074615,              0.0016148,              0.0016148
                     15,                  1.255,                0.97172,                 1.3432,                0.06703,                 0.5686,                 0.3123,                  0.195,                 1.3924,                 2.2144,                 1.6913,               0.072715,              0.0017148,              0.0017148
                     16,                 1.2232,                 1.0104,                 1.3832,                0.06841,                0.57807,                 0.3876,                0.24513,                 1.3873,                  2.189,                 1.6062,               0.070812,              0.0018121,              0.0018121
                     17,                 1.2164,                0.92623,                 1.3331,                0.55735,                0.22583,                0.44459,                0.26484,                 1.4083,                 2.0642,                  1.521,               0.068907,              0.0019066,              0.0019066
                     18,                 1.2112,                0.94197,                 1.3733,                0.51196,                0.30463,                0.44705,                0.28257,                 1.2497,                  1.933,                  1.415,               0.066999,              0.0019985,              0.0019985
                     19,                 1.1933,                0.91343,                 1.3506,                 0.4684,                0.34816,                0.43857,                0.27813,                 1.2903,                 1.8212,                 1.4569,               0.065088,              0.0020877,              0.0020877
                     20,                 1.0382,                0.87211,                 1.3315,                0.44742,                0.35206,                0.42977,                0.26011,                 1.4072,                 1.8086,                 1.5143,               0.063174,              0.0021742,              0.0021742
                     21,                 1.1038,                0.83106,                 1.2861,                0.46905,                0.32828,                0.42068,                0.25346,                 1.4926,                 1.8706,                 1.5944,               0.061258,              0.0022579,              0.0022579
                     22,                 1.1127,                0.85093,                 1.3304,                0.55622,                 0.2767,                0.43696,                0.26835,                 1.3798,                 1.9323,                 1.5697,               0.059339,               0.002339,               0.002339
                     23,                 1.1629,                0.88056,                 1.3496,                0.55922,                0.30682,                0.45385,                0.28521,                 1.3489,                 1.9381,                 1.5325,               0.057417,              0.0024173,              0.0024173
                     24,                 1.2572,                0.94396,                 1.3392,                 0.5403,                0.29216,                0.45294,                0.27195,                 1.3795,                 2.0182,                 1.5045,               0.055493,               0.002493,               0.002493
                     25,                 1.1639,                0.87846,                  1.331,                0.51073,                0.25758,                0.40757,                0.26409,                 1.4121,                 2.1546,                 1.5869,               0.053566,              0.0025659,              0.0025659
                     26,                 1.0864,                0.85957,                 1.3131,                0.54223,                0.42098,                0.47787,                0.31928,                 1.2753,                 1.7886,                 1.4616,               0.051636,              0.0026362,              0.0026362
                     27,                0.97536,                0.89928,                 1.3104,                0.56713,                0.52525,                0.57531,                0.35461,                 1.3514,                 1.3537,                 1.4592,               0.049704,              0.0027037,              0.0027037
                     28,                 1.2533,                0.85188,                 1.3152,                0.56713,                0.52525,                0.57531,                0.35461,                 1.3514,                 1.3537,                 1.4592,               0.047769,              0.0027685,              0.0027685
                     29,                 1.0757,                0.81821,                 1.2903,                0.54136,                0.55085,                0.57666,                0.38996,                 1.1188,                 1.2523,                 1.3615,               0.045831,              0.0028306,              0.0028306
                     30,                  1.127,                0.84469,                 1.2968,                  0.553,                0.47026,                0.55349,                0.37968,                 1.1124,                 1.3094,                 1.3224,                0.04389,                0.00289,                0.00289
                     31,                  1.085,                0.95647,                 1.3132,                  0.553,                0.47026,                0.55349,                0.37968,                 1.1124,                 1.3094,                 1.3224,               0.041947,              0.0029467,              0.0029467
                     32,                 1.0461,                0.82964,                 1.2814,                0.56058,                0.46759,                0.56536,                0.36914,                 1.2298,                 1.3565,                 1.3474,               0.040001,              0.0030007,              0.0030007
                     33,                0.97409,                0.91865,                 1.3227,                0.54083,                0.47664,                0.53685,                0.37026,                 1.1427,                 1.3751,                 1.2941,               0.038052,               0.003052,               0.003052
                     34,                 1.0549,                0.85745,                 1.2909,                0.54083,                0.47664,                0.53685,                0.37026,                 1.1427,                 1.3751,                 1.2941,               0.036101,              0.0031006,              0.0031006
                     35,                 1.1189,                0.89509,                 1.2653,                0.53201,                0.50797,                0.55181,                0.39024,                 1.1488,                 1.2936,                 1.3088,               0.034147,              0.0031465,              0.0031465
                     36,                 1.0169,                0.83569,                 1.2655,                0.56571,                0.50052,                0.55457,                0.39763,                 1.1329,                  1.219,                 1.3134,                0.03219,              0.0031897,              0.0031897
                     37,                0.97479,                0.81013,                 1.2894,                0.56571,                0.50052,                0.55457,                0.39763,                 1.1329,                  1.219,                 1.3134,                0.03023,              0.0032302,              0.0032302
                     38,                 0.9678,                0.80145,                 1.2546,                0.89908,                0.51115,                0.56437,                0.37977,                 1.2049,                 1.1393,                 1.3357,               0.028268,              0.0032679,              0.0032679
                     39,                 1.1136,                0.80846,                 1.2949,                0.91078,                0.45489,                0.53306,                0.37127,                 1.1225,                 1.2314,                 1.3238,               0.026303,               0.003303,               0.003303
                     40,                0.96099,                0.78353,                 1.2546,                0.91078,                0.45489,                0.53306,                0.37127,                 1.1225,                 1.2314,                 1.3238,               0.024335,              0.0033353,              0.0033353
                     41,                 1.2086,                0.85853,                  1.331,                0.88604,                0.42277,                0.51614,                0.35003,                 1.2332,                 1.3477,                 1.3913,               0.022365,               0.003365,               0.003365
                     42,                 1.0834,                0.79699,                 1.2956,                0.81784,                 0.4375,                0.49581,                0.31251,                 1.2518,                 1.5292,                 1.4435,               0.020392,              0.0033919,              0.0033919
                     43,                 1.1228,                0.80838,                 1.3049,                0.81784,                 0.4375,                0.49581,                0.31251,                 1.2518,                 1.5292,                 1.4435,               0.018416,              0.0034162,              0.0034162
                     44,                 1.1574,                0.79794,                 1.2835,                0.85496,                0.47863,                0.54812,                0.35812,                 1.2577,                 1.3561,                 1.4033,               0.016438,              0.0034377,              0.0034377
                     45,                 1.0005,                0.75886,                 1.2812,                0.85496,                0.47863,                0.54812,                0.35812,                 1.2577,                 1.3561,                 1.4033,               0.014457,              0.0034565,              0.0034565
                     46,                0.98852,                0.74517,                 1.2178,                0.89056,                0.48338,                0.55716,                0.40026,                 1.0913,                 1.1726,                 1.2936,               0.012473,              0.0034726,              0.0034726
                     47,                0.98284,                0.73862,                 1.2217,                0.89056,                0.48338,                0.55716,                0.40026,                 1.0913,                 1.1726,                 1.2936,               0.010486,              0.0034861,              0.0034861
