number,value,datetime_start,datetime_complete,duration,params_T_max,params_affine_degrees,params_blur_sigma,params_brightness,params_contrast,params_erase_p,params_gamma,params_grayscale_p,params_horizontal_flip_p,params_hue,params_lr,params_momentum,params_nms_thresh,params_optimizer,params_perspective_distortion,params_perspective_p,params_saturation,params_scale_max,params_scale_min,params_scheduler,params_score_thresh,params_shear,params_step_size,params_translate,params_vertical_flip_p,params_warmup_epochs,params_weight_decay,state
35,0.01357980351895094,2025-05-31 23:04:30.675852,2025-05-31 23:07:50.789788,0 days 00:03:20.113936,,26,1.278476472366216,0.08303888590208627,0.3697246712329446,0.2980769419992721,0.7714175579813589,0.21763440352917712,0.16901533261056711,0.09001643078100341,0.00020303464402542524,0.8841215337588759,0.5479064799513513,SGD,0.30992706932805564,0.4460378664358446,0.2559519141288908,1.2174425265060074,0.8419926616218111,StepLR,0.2589970557580117,5.024293406987564,16.0,0.010442429791820099,0.11383256895288325,4,0.0008117536412454802,COMPLETE
36,0.310566782951355,2025-05-31 23:07:50.790521,2025-05-31 23:11:20.602334,0 days 00:03:29.811813,,17,1.0209170171648483,0.04628517259421741,0.30995180435703323,0.22986237925390243,0.8408250020057378,0.22348323857760605,0.3481836372696837,0.10750529768050857,9.819956849599979e-05,,0.3821707790116027,Adam,0.1889214115510077,0.47150609847614294,0.1206158194399429,1.2065564865869074,0.869597748411158,StepLR,0.45420080434922083,10.108017262477478,21.0,0.12817790509670993,0.7015744859159758,5,0.0009836866913941025,COMPLETE
37,0.32826608419418335,2025-05-31 23:11:20.603076,2025-05-31 23:14:33.157878,0 days 00:03:12.554802,,12,1.4499225190258884,0.03311537076447439,0.2554080164315001,0.1780617094644287,0.7492750140572639,0.18439442551992297,0.06397140260252712,0.0763267055468031,0.00026704525872242374,,0.4944286317175213,Adam,0.36261055845375467,0.3648251193365457,0.17383807995441386,1.1533792284225495,0.8067623126272988,StepLR,0.32088440001057694,10.765272970664276,17.0,0.09037389612444253,0.05655058135703217,5,0.0006947192358850048,COMPLETE
38,0.031864289194345474,2025-05-31 23:14:33.158620,2025-05-31 23:18:00.347832,0 days 00:03:27.189212,13.0,14,1.1586291455601319,0.0819226369070014,0.3073429220390184,0.3557898295395177,,0.20429365466417973,0.14363079412824192,0.013233460552927912,0.00043783508158874577,0.6147932979782953,0.6161316771327979,SGD,0.3860438936340451,0.4954717735200674,0.26408471764767055,1.192131175162179,0.8476591264927418,CosineAnnealingLR,0.17315284992663788,13.028008712463873,,0.05816859243147055,0.2143556879424859,4,0.00028700687190683506,COMPLETE
39,0.111260324716568,2025-05-31 23:18:00.348548,2025-05-31 23:21:25.592974,0 days 00:03:25.244426,,4,1.294425221311824,0.03750482106382143,0.13143562366357647,0.13735222251628934,0.10153673543351499,0.2410379715218312,0.22583260032417055,0.18354232454710728,0.0009636065720386695,,0.4753325007175976,Adam,0.27174624681078763,0.44255556819282704,0.4893488826372509,1.281018087347511,0.7702583511331561,StepLR,0.259189698434704,7.948034266953304,22.0,0.15938881718819814,0.31214802396393104,4,0.0008908969322730555,COMPLETE
40,0.23004132509231567,2025-05-31 23:21:25.593688,2025-05-31 23:24:24.746916,0 days 00:02:59.153228,24.0,9,1.5403015470489019,0.003027630535720527,0.06402266341050389,0.30044114480444606,,0.21336130496640615,0.047945474248217435,0.03172368856496749,3.3503993416309854e-05,,0.4316494159576365,Adam,0.4167760153590113,0.276292201678352,0.20379864851913088,1.2374608026890477,0.8868676042930452,CosineAnnealingLR,0.3680687049643175,4.33797839125894,,0.24018854637026832,0.19600242838399506,5,0.0008135381380492303,COMPLETE
41,0.34393155574798584,2025-05-31 23:24:24.747659,2025-05-31 23:27:36.690697,0 days 00:03:11.943038,,5,1.766307375488514,0.09647443124693582,0.2085885305291293,0.20733325866840197,0.689279054570693,0.031161828058493102,0.4529517211114853,0.02685377333398354,0.00027142912007625,,0.45935285555048133,Adam,0.3206501883285281,0.4161079439747844,0.07503361064859679,1.173435459431738,0.802517255921573,StepLR,0.18274485822040387,11.431922063107582,14.0,0.11106545545336524,0.13591089841149429,4,0.0007824502591912483,COMPLETE
42,0.3795306086540222,2025-05-31 23:27:36.691428,2025-05-31 23:30:40.329398,0 days 00:03:03.637970,,4,1.8034964079416347,0.08527470844362398,0.19140261339416764,0.21627831031824352,0.8376755172540099,0.0038327599728860684,0.3291008313106566,0.04626519621702294,0.00024339540281313713,,0.49213608285539895,Adam,0.3162267859848416,0.38988884461502044,0.08225819092882525,1.1987523710889565,0.8193120596705972,StepLR,0.14514720702969774,13.858104456294301,14.0,0.07798286509432392,0.06172228895945753,4,0.0009591703045215608,COMPLETE
43,0.3437856435775757,2025-05-31 23:30:40.330165,2025-05-31 23:33:53.508244,0 days 00:03:13.178079,,4,1.803394527794334,0.13856528271865348,0.14990681178728163,0.19429237621246281,0.8460633792479811,0.00022249342953081482,0.4409037518679562,0.04401420664709196,0.00016721638134682652,,0.4789017278343954,Adam,0.3150965999800835,0.39131762086484145,0.08300739964897996,1.1963222759444088,0.8404490146407179,StepLR,0.06047080523842807,14.285250985127794,14.0,0.07986231987735345,0.8376505689780649,4,0.0009622238842524229,COMPLETE
44,0.27066782116889954,2025-05-31 23:33:53.508936,2025-05-31 23:37:17.409947,0 days 00:03:23.901011,,11,1.7146528661289078,0.09681162162682819,0.19944520888775186,0.21211716093819735,0.8515752480324712,0.022798542665194543,0.33168659467891437,0.010691899237273234,7.392968787110325e-05,,0.45479689370921117,Adam,0.3588724588945804,0.46262970161771577,0.12977901058080007,1.1415366651857322,0.8138143419627357,StepLR,0.07684575475472355,9.737375085108466,15.0,0.09708696212461135,0.13398957860817323,4,0.000793872809761825,COMPLETE
45,0.19945460557937622,2025-05-31 23:37:17.410700,2025-05-31 23:40:32.076581,0 days 00:03:14.665881,19.0,4,1.8825048926093362,0.19594045867001764,0.09858175648597078,0.17600277851245727,,0.0220295758919928,0.21578399633459994,0.030454455776831313,4.5500299392285914e-05,,0.385973571889429,Adam,0.2339188817591517,0.42939543349786535,0.1487625421317548,1.1601354638019883,0.8593527338319169,CosineAnnealingLR,0.15322113142564542,13.589787182588383,,0.0246909789466446,0.061476326411769484,5,0.000641901870455759,COMPLETE
46,0.05496383458375931,2025-05-31 23:40:32.077274,2025-05-31 23:43:49.988037,0 days 00:03:17.910763,,14,1.5706901741305903,0.049677345914298066,0.33281966060284507,0.1248512608831284,0.8183233471645297,0.03972985888814186,0.41563600669627837,0.07890616095462152,2.1888859049107295e-05,0.7756915875717408,0.4938669560153976,SGD,0.29801527243919446,0.3662937236930908,0.11862002483012499,1.1703160211832733,0.8204773780831878,StepLR,0.09994637838601242,15.366588187605625,11.0,0.05830067629754201,0.6378891385644206,3,0.0004744336392752087,COMPLETE
47,0.3051905632019043,2025-05-31 23:43:49.988757,2025-05-31 23:47:26.663638,0 days 00:03:36.674881,,36,1.8375514414453074,0.16278567452023263,0.37075249223657586,0.285935316846558,0.6522702876870805,0.014559948061553193,0.3170187276473798,0.04241608314759846,0.00044087612656186807,,0.42807374342537796,Adam,0.3344396021062444,0.47791447371926726,0.23357674240538265,1.1226258356632557,0.8006497294084918,StepLR,0.1845419139477685,11.08744117077096,19.0,0.07407519171851601,0.3650533333928163,4,0.0007116694098297671,COMPLETE
48,0.32866400480270386,2025-05-31 23:47:26.664399,2025-05-31 23:50:53.268052,0 days 00:03:26.603653,,21,1.6888784756668154,0.13255454278021633,0.2756830386205902,0.07930061254501847,0.8950757283144744,0.23131342838929583,0.6235720476278226,0.009551160688809554,0.0001474347951702617,,0.5635046542122377,Adam,0.39698863415583957,0.4045903845049757,0.07944451955755834,1.1857409354923862,0.834626548829605,StepLR,0.3017185871152777,7.773925730439956,9.0,0.13093379272849312,0.250439995269425,5,0.0008389357675930708,COMPLETE
49,0.1685604602098465,2025-05-31 23:50:53.268800,2025-05-31 23:54:06.393796,0 days 00:03:13.124996,31.0,7,1.5180474749398623,0.02884262945447976,0.17094021065589687,0.15353401100801517,,0.03965244643408682,0.2470526757143291,0.09422331969109045,0.0008432314885681281,,0.47133277758450814,Adam,0.5560145462664979,0.32684674221773447,0.03503275959306158,1.1408440356221188,0.9124695771839612,CosineAnnealingLR,0.16405698241212335,12.607678997674386,,0.10010782149099623,0.3024962280274879,3,0.000884408062303583,COMPLETE
