                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.205,                0.87254,                 1.3526,                0.63506,                0.45492,                0.29834,                 0.2174,                 1.2778,                 2.3916,                  1.397,               0.034147,              0.0031465,              0.0031465
                     36,                 1.1341,                0.83358,                 1.3077,                0.62408,                0.29038,                 0.2963,                0.21151,                 1.3016,                  1.819,                 1.4181,                0.03219,              0.0031897,              0.0031897
                     37,                 1.0551,                0.86448,                 1.3182,                0.62408,                0.29038,                 0.2963,                0.21151,                 1.3016,                  1.819,                 1.4181,                0.03023,              0.0032302,              0.0032302
                     38,                 1.0566,                0.86749,                 1.2886,                0.49082,                0.45032,                0.48693,                0.34616,                 1.1644,                 1.6084,                 1.3512,               0.028268,              0.0032679,              0.0032679
                     39,                0.96139,                0.83535,                 1.2649,                0.88563,                0.39008,                0.48055,                0.32803,                 1.2047,                 1.5946,                 1.3586,               0.026303,               0.003303,               0.003303
                     40,                  1.002,                0.80326,                   1.23,                0.88563,                0.39008,                0.48055,                0.32803,                 1.2047,                 1.5946,                 1.3586,               0.024335,              0.0033353,              0.0033353
                     41,                 1.0581,                 0.8475,                 1.3027,                0.92258,                0.53927,                0.61469,                0.38732,                 1.2769,                 1.1778,                 1.3441,               0.022365,               0.003365,               0.003365
                     42,                 1.0662,                0.77797,                 1.2287,                0.90911,                 0.5505,                0.62697,                  0.456,                 1.0528,                 1.0497,                 1.2901,               0.020392,              0.0033919,              0.0033919
                     43,                 1.1269,                0.90302,                 1.2905,                0.90911,                 0.5505,                0.62697,                  0.456,                 1.0528,                 1.0497,                 1.2901,               0.018416,              0.0034162,              0.0034162
                     44,                 1.1641,                0.91362,                 1.2626,                0.95597,                0.52653,                0.62248,                0.46626,                0.99847,                 1.0148,                 1.2874,               0.016438,              0.0034377,              0.0034377
                     45,                0.98456,                0.76222,                 1.2517,                0.95597,                0.52653,                0.62248,                0.46626,                0.99847,                 1.0148,                 1.2874,               0.014457,              0.0034565,              0.0034565
                     46,                 1.1023,                 0.8046,                  1.307,                0.94431,                 0.5545,                0.60987,                0.37223,                 1.3236,                  1.134,                  1.443,               0.012473,              0.0034726,              0.0034726
                     47,                 1.0611,                0.79039,                 1.2923,                0.94431,                 0.5545,                0.60987,                0.37223,                 1.3236,                  1.134,                  1.443,               0.010486,              0.0034861,              0.0034861
                     48,                 1.1828,                0.80718,                 1.2895,                0.93862,                0.56254,                0.61534,                0.41809,                 1.1495,                 1.0823,                 1.3378,              0.0084968,              0.0034968,              0.0034968
                     49,                 1.0834,                0.89185,                 1.3324,                0.93862,                0.56254,                0.61534,                0.41809,                 1.1495,                 1.0823,                 1.3378,              0.0065048,              0.0035048,              0.0035048
                     50,                 1.0589,                0.87137,                 1.2833,                0.91943,                0.59251,                 0.6096,                0.39497,                 1.1973,                 1.0917,                 1.4023,              0.0045101,              0.0035101,              0.0035101
                     51,                 0.9843,                0.82724,                 1.2691,                0.91943,                0.59251,                 0.6096,                0.39497,                 1.1973,                 1.0917,                 1.4023,              0.0034779,              0.0034779,              0.0034779
                     52,                 1.0769,                0.83229,                 1.2934,                0.88181,                0.56281,                 0.5973,                0.43195,                 1.0186,                  1.107,                 1.2395,              0.0034102,              0.0034102,              0.0034102
                     53,                0.92609,                0.77419,                 1.2452,                0.88181,                0.56281,                 0.5973,                0.43195,                 1.0186,                  1.107,                 1.2395,              0.0033426,              0.0033426,              0.0033426
                     54,                 1.0973,                0.89215,                 1.2668,                0.91551,                0.55807,                0.61711,                0.47189,                0.93726,                0.92269,                 1.2062,               0.003275,               0.003275,               0.003275
                     55,                 1.0173,                0.76692,                 1.2812,                0.91551,                0.55807,                0.61711,                0.47189,                0.93726,                0.92269,                 1.2062,              0.0032073,              0.0032073,              0.0032073
                     56,                0.94332,                0.74109,                 1.2336,                0.91101,                0.61293,                0.62221,                0.44835,                 1.0638,                0.87678,                 1.2863,              0.0031397,              0.0031397,              0.0031397
                     57,                 0.9332,                0.73289,                 1.2222,                0.91101,                0.61293,                0.62221,                0.44835,                 1.0638,                0.87678,                 1.2863,               0.003072,               0.003072,               0.003072
                     58,                0.88925,                0.71417,                 1.2148,                0.94289,                0.63196,                 0.6358,                0.49278,                0.95081,                  0.785,                 1.2195,              0.0030044,              0.0030044,              0.0030044
                     59,                0.87712,                0.71326,                 1.2222,                0.94289,                0.63196,                 0.6358,                0.49278,                0.95081,                  0.785,                 1.2195,              0.0029367,              0.0029367,              0.0029367
                     60,                0.99411,                0.73063,                 1.2314,                0.91814,                0.63107,                 0.6401,                0.50005,                0.86589,                0.74407,                  1.181,              0.0028691,              0.0028691,              0.0028691
                     61,                 1.0115,                0.72474,                 1.2531,                0.91814,                0.63107,                 0.6401,                0.50005,                0.86589,                0.74407,                  1.181,              0.0028015,              0.0028015,              0.0028015
                     62,                0.88902,                0.68218,                 1.1937,                0.93609,                0.64045,                0.63882,                0.52059,                0.80469,                0.75872,                 1.1522,              0.0027338,              0.0027338,              0.0027338
                     63,                 1.0159,                0.71596,                  1.212,                0.93609,                0.64045,                0.63882,                0.52059,                0.80469,                0.75872,                 1.1522,              0.0026662,              0.0026662,              0.0026662
                     64,                0.99426,                0.72711,                 1.2139,                0.89142,                0.61958,                0.62662,                0.51004,                0.81397,                0.80994,                 1.1754,              0.0025985,              0.0025985,              0.0025985
                     65,                0.88597,                0.73899,                 1.2099,                0.89142,                0.61958,                0.62662,                0.51004,                0.81397,                0.80994,                 1.1754,              0.0025309,              0.0025309,              0.0025309
                     66,                 1.0052,                0.74857,                 1.2475,                0.90939,                0.62576,                0.62794,                0.49186,                0.83369,                 0.7715,                  1.178,              0.0024632,              0.0024632,              0.0024632
                     67,                0.95123,                0.70066,                 1.2014,                0.90939,                0.62576,                0.62794,                0.49186,                0.83369,                 0.7715,                  1.178,              0.0023956,              0.0023956,              0.0023956
                     68,                 1.0523,                0.73386,                 1.2481,                0.91128,                 0.6374,                0.63304,                0.50556,                 0.7862,                0.71787,                 1.1596,               0.002328,               0.002328,               0.002328
                     69,                0.83642,                0.66567,                 1.1845,                0.91128,                 0.6374,                0.63304,                0.50556,                 0.7862,                0.71787,                 1.1596,              0.0022603,              0.0022603,              0.0022603
                     70,                0.95977,                0.67899,                 1.1795,                0.93309,                0.63226,                 0.6392,                0.52245,                0.75037,                0.68611,                 1.1463,              0.0021927,              0.0021927,              0.0021927
                     71,                0.90562,                0.71164,                 1.2397,                0.93309,                0.63226,                 0.6392,                0.52245,                0.75037,                0.68611,                 1.1463,               0.002125,               0.002125,               0.002125
                     72,                 1.0863,                0.73088,                 1.2343,                0.93266,                0.62035,                0.64162,                0.53562,                0.74617,                0.69717,                 1.1405,              0.0020574,              0.0020574,              0.0020574
                     73,                 0.8025,                0.67521,                  1.179,                0.93266,                0.62035,                0.64162,                0.53562,                0.74617,                0.69717,                 1.1405,              0.0019898,              0.0019898,              0.0019898
                     74,                0.79924,                0.71222,                 1.1931,                0.92818,                0.60413,                0.63532,                0.52384,                0.78018,                0.71349,                 1.1601,              0.0019221,              0.0019221,              0.0019221
                     75,                0.91858,                0.66149,                 1.1868,                0.92818,                0.60413,                0.63532,                0.52384,                0.78018,                0.71349,                 1.1601,              0.0018545,              0.0018545,              0.0018545
                     76,                0.78244,                 0.6523,                 1.1805,                0.93151,                0.61838,                0.63671,                0.53963,                0.69145,                0.68769,                 1.1319,              0.0017868,              0.0017868,              0.0017868
                     77,                0.83681,                0.66351,                 1.1619,                0.93151,                0.61838,                0.63671,                0.53963,                0.69145,                0.68769,                 1.1319,              0.0017192,              0.0017192,              0.0017192
                     78,                0.93094,                0.66392,                 1.1835,                0.94619,                0.60634,                0.65924,                0.54995,                0.71887,                0.68469,                 1.1532,              0.0016515,              0.0016515,              0.0016515
                     79,                 1.0345,                0.71849,                   1.24,                0.94619,                0.60634,                0.65924,                0.54995,                0.71887,                0.68469,                 1.1532,              0.0015839,              0.0015839,              0.0015839
                     80,                0.99006,                0.71532,                 1.2337,                0.94678,                0.62804,                0.63787,                0.52185,                0.75337,                0.67981,                 1.1728,              0.0015163,              0.0015163,              0.0015163
                     81,                0.86148,                0.60887,                 1.1485,                0.94678,                0.62804,                0.63787,                0.52185,                0.75337,                0.67981,                 1.1728,              0.0014486,              0.0014486,              0.0014486
                     82,                0.83886,                0.62914,                 1.1761,                0.95657,                0.63482,                 0.6397,                0.51875,                0.76369,                0.66186,                 1.1525,               0.001381,               0.001381,               0.001381
                     83,                0.84135,                0.74913,                 1.2575,                0.95657,                0.63482,                 0.6397,                0.51875,                0.76369,                0.66186,                 1.1525,              0.0013133,              0.0013133,              0.0013133
                     84,                0.83499,                0.64166,                 1.1903,                0.94351,                 0.6552,                0.64218,                0.53979,                0.73277,                0.62388,                  1.146,              0.0012457,              0.0012457,              0.0012457
                     85,                0.84545,                0.66771,                 1.2103,                0.94351,                 0.6552,                0.64218,                0.53979,                0.73277,                0.62388,                  1.146,               0.001178,               0.001178,               0.001178
                     86,                0.73926,                0.64266,                 1.1654,                0.95248,                0.64707,                0.65217,                0.55457,                0.68003,                0.60564,                 1.1311,              0.0011104,              0.0011104,              0.0011104
                     87,                0.90056,                   0.64,                 1.1639,                0.95248,                0.64707,                0.65217,                0.55457,                0.68003,                0.60564,                 1.1311,              0.0010428,              0.0010428,              0.0010428
                     88,                0.83609,                0.65954,                 1.1676,                0.94954,                0.64965,                 0.6479,                0.55092,                0.67956,                0.60038,                 1.1254,             0.00097512,             0.00097512,             0.00097512
                     89,                0.80782,                0.59793,                 1.1328,                0.94954,                0.64965,                 0.6479,                0.55092,                0.67956,                0.60038,                 1.1254,             0.00090747,             0.00090747,             0.00090747
                     90,                 1.0344,                0.68913,                 1.1963,                0.94651,                0.64448,                 0.6477,                0.54599,                0.69795,                0.59657,                 1.1262,             0.00083983,             0.00083983,             0.00083983
                     91,                0.72608,                0.78815,                 1.1807,                0.94651,                0.64448,                 0.6477,                0.54599,                0.69795,                0.59657,                 1.1262,             0.00077219,             0.00077219,             0.00077219
                     92,                0.79738,                0.85831,                 1.1822,                0.94351,                0.64613,                0.64875,                0.53862,                0.73502,                0.60139,                 1.1348,             0.00070455,             0.00070455,             0.00070455
                     93,                 0.6815,                0.71669,                 1.2074,                0.94351,                0.64613,                0.64875,                0.53862,                0.73502,                0.60139,                 1.1348,              0.0006369,              0.0006369,              0.0006369
                     94,                0.71128,                0.67235,                 1.1189,                0.93975,                0.64931,                0.64833,                0.53452,                0.75966,                0.61927,                 1.1443,             0.00056926,             0.00056926,             0.00056926
                     95,                0.76443,                0.61902,                 1.1388,                0.93975,                0.64931,                0.64833,                0.53452,                0.75966,                0.61927,                 1.1443,             0.00050162,             0.00050162,             0.00050162
                     96,                0.71922,                0.61456,                  1.122,                0.93793,                0.64931,                0.63744,                0.53274,                0.73492,                0.62823,                 1.1423,             0.00043398,             0.00043398,             0.00043398
                     97,                 0.6731,                0.60385,                 1.1442,                0.93793,                0.64931,                0.63744,                0.53274,                0.73492,                0.62823,                 1.1423,             0.00036633,             0.00036633,             0.00036633
                     98,                0.72528,                0.63114,                 1.1484,                0.94338,                 0.6478,                0.63812,                0.53947,                0.71713,                0.63087,                 1.1364,             0.00029869,             0.00029869,             0.00029869
                     99,                0.70595,                0.61836,                 1.1313,                0.94338,                 0.6478,                0.63812,                0.53947,                0.71713,                0.63087,                 1.1364,             0.00023105,             0.00023105,             0.00023105
                    100,                0.63501,                 0.5696,                 1.1009,                0.94962,                0.64629,                0.63862,                0.54062,                0.70169,                0.61892,                  1.133,             0.00016341,             0.00016341,             0.00016341
